List of lists of tuples;Tasks#;Workers#;Jobs#;Sch.FCFS;FCFS.ImpTime;Sch.MRR;MMR.ImpTime;Sch.JSP;JSP.time
[[(0,1),(1,2),(0,4),(1,2)],[(3,2),(2,2),(3,3),(2,1)],[(1,2),(0,3),(1,1),(0,4)],[(1,4),(0,4),(1,1)],[(3,2),(2,1),(3,2)],[(2,3),(3,2),(2,4),(3,1)]];22;4;6;51;11917;18;10334;17;3413542
[[(3,3),(2,4),(3,1)],[(2,2),(3,2),(2,3),(3,3)],[(1,3),(0,1),(1,3),(0,2)],[(0,3),(1,3),(0,4),(1,4)],[(0,1),(1,2),(0,2)],[(3,2),(2,3),(3,4),(2,3)]];22;4;6;58;4500;17;12458;15;3379958
[[(0,4),(2,4),(0,3)],[(0,2),(2,1),(0,4),(2,1)],[(2,2),(0,1),(2,3),(0,4)],[(3,2),(1,4),(3,3),(1,3)],[(1,3),(3,2),(1,4),(3,4)],[(3,3),(1,3),(3,2)]];22;4;6;62;15750;19;9625;18;3077667
[[(1,2),(0,4),(1,2),(0,4)],[(3,4),(2,1),(3,3),(2,1)],[(1,2),(0,3),(1,2)],[(2,3),(3,4),(2,1),(3,3)],[(0,3),(1,3),(0,4),(1,2)],[(2,4),(3,4),(2,2)]];22;4;6;61;5417;18;18042;18;3240042
[[(2,2),(3,2),(2,1)],[(0,2),(1,3),(0,3),(1,2)],[(1,1),(0,1),(1,3)],[(2,4),(3,4),(2,1),(3,2)],[(1,2),(0,4),(1,4),(0,3)],[(3,1),(2,1),(3,3),(2,2)]];22;4;6;51;11333;16;9542;15;3348167
[[(3,2),(1,2),(3,2)],[(3,1),(1,3),(3,3),(1,1)],[(2,4),(0,4),(2,4),(0,3)],[(2,1),(0,3),(2,2)],[(1,3),(3,1),(1,3),(3,3)],[(0,1),(2,4),(0,2),(2,1)]];22;4;6;53;4166;16;12708;16;3393875
[[(3,2),(2,2),(3,1),(2,1)],[(1,1),(0,3),(1,1),(0,1)],[(1,4),(0,4),(1,1)],[(2,4),(3,2),(2,1),(3,3)],[(0,2),(1,3),(0,2),(1,2)],[(2,1),(3,3),(2,1)]];22;4;6;45;4292;13;9959;13;3115500
[[(1,4),(3,3),(1,1)],[(2,3),(0,2),(2,1),(0,4)],[(0,1),(2,2),(0,3),(2,3)],[(1,4),(3,1),(1,2),(3,2)],[(3,3),(1,2),(3,2),(1,4)],[(0,2),(2,3),(0,2)]];22;4;6;54;3708;17;13500;17;3098916
[[(1,4),(2,2),(1,4)],[(3,3),(0,4),(3,3)],[(1,4),(2,3),(1,2),(2,3)],[(3,3),(0,2),(3,3),(0,2)],[(0,1),(3,2),(0,3),(3,2)],[(2,4),(1,3),(2,2),(1,4)]];22;4;6;63;3417;21;8375;21;3238083
[[(2,4),(0,4),(2,4)],[(0,1),(2,2),(0,4),(2,2)],[(3,3),(1,3),(3,1),(1,3)],[(3,3),(1,1),(3,4)],[(1,4),(3,4),(1,3),(3,2)],[(2,4),(0,2),(2,3),(0,3)]];22;4;6;64;3834;20;11542;19;3200375
[[(2,3),(1,4),(2,4)],[(0,1),(3,1),(0,1)],[(2,3),(1,1),(2,4),(1,4)],[(3,1),(0,1),(3,4),(0,1)],[(0,2),(3,2),(0,4),(3,2)],[(1,2),(2,4),(1,1),(2,1)]];22;4;6;51;12792;22;12000;19;3211959
[[(0,4),(2,4),(0,1)],[(2,1),(0,1),(2,3),(0,2)],[(0,4),(2,1),(0,2),(2,2)],[(1,3),(3,2),(1,1)],[(1,3),(3,3),(1,3),(3,2)],[(3,3),(1,4),(3,4),(1,2)]];22;4;6;55;4167;16;13834;16;3021833
[[(2,2),(0,1),(2,2),(0,1)],[(3,3),(1,1),(3,4),(1,3)],[(3,4),(1,1),(3,4)],[(1,2),(3,3),(1,4),(3,1)],[(0,1),(2,1),(0,2)],[(0,3),(2,4),(0,3),(2,3)]];22;4;6;53;10666;19;8958;19;3271666
[[(0,4),(3,3),(0,3)],[(1,2),(2,3),(1,1),(2,1)],[(3,1),(0,4),(3,3),(0,3)],[(0,2),(3,4),(0,3),(3,1)],[(2,4),(1,1),(2,3)],[(2,1),(1,2),(2,1),(1,3)]];22;4;6;53;5834;19;17125;19;3082625
[[(3,4),(1,4),(3,3),(1,2)],[(2,2),(0,3),(2,2)],[(1,4),(3,4),(1,3),(3,2)],[(2,4),(0,3),(2,1),(0,3)],[(3,3),(1,4),(3,2)],[(0,2),(2,2),(0,4),(2,1)]];22;4;6;62;13250;18;22250;18;3088458
[[(1,2),(2,2),(1,3)],[(2,1),(1,1),(2,1),(1,4)],[(0,1),(3,1),(0,1)],[(1,3),(2,4),(1,4),(2,3)],[(0,1),(3,4),(0,1),(3,1)],[(3,2),(0,3),(3,2),(0,3)]];22;4;6;48;4333;17;14375;17;2994542
[[(1,4),(3,4),(1,3),(3,3)],[(3,4),(1,1),(3,3),(1,4)],[(2,1),(0,2),(2,1)],[(1,1),(3,1),(1,3)],[(0,1),(2,2),(0,3),(2,4)],[(2,4),(0,3),(2,3),(0,3)]];22;4;6;58;9208;18;8625;16;3250375
[[(3,4),(0,4),(3,4),(0,1)],[(3,2),(0,2),(3,2)],[(1,1),(2,3),(1,3)],[(0,4),(3,2),(0,2),(3,1)],[(1,3),(2,1),(1,2),(2,1)],[(2,2),(1,4),(2,1),(1,3)]];22;4;6;52;3292;16;10208;16;3127333
[[(0,3),(2,3),(0,3),(2,4)],[(0,3),(2,2),(0,3)],[(1,1),(3,2),(1,3)],[(3,3),(1,1),(3,3),(1,4)],[(1,1),(3,2),(1,1),(3,1)],[(2,1),(0,2),(2,3),(0,1)]];22;4;6;50;4875;15;17208;15;3202792
[[(0,2),(3,2),(0,3),(3,2)],[(3,2),(0,1),(3,4),(0,4)],[(2,4),(1,1),(2,4),(1,2)],[(1,3),(2,4),(1,2)],[(1,3),(2,2),(1,1),(2,4)],[(3,3),(0,3),(3,3)]];22;4;6;59;4291;18;12209;18;3104958
[[(0,4),(3,4),(0,4),(3,3)],[(1,2),(2,1),(1,4),(2,4)],[(2,3),(1,3),(2,1)],[(2,3),(1,4),(2,3),(1,1)],[(3,2),(0,3),(3,2),(0,3)],[(3,2),(0,2),(3,1)]];22;4;6;59;14208;18;10083;16;3476042
[[(1,4),(3,1),(1,2),(3,2)],[(0,1),(2,3),(0,2)],[(3,4),(1,4),(3,1),(1,1)],[(2,2),(0,1),(2,1),(0,2)],[(0,3),(2,4),(0,3),(2,3)],[(3,4),(1,3),(3,1)]];22;4;6;52;4625;15;13666;14;6158625
[[(1,4),(2,1),(1,4),(2,1)],[(0,3),(3,2),(0,4),(3,3)],[(2,1),(1,4),(2,1),(1,4)],[(0,2),(3,4),(0,2)],[(1,1),(2,4),(1,3)],[(3,3),(0,1),(3,3),(0,3)]];22;4;6;58;4666;20;20666;20;3450875
[[(3,1),(1,1),(3,3),(1,3)],[(0,3),(2,1),(0,3)],[(0,4),(2,1),(0,3),(2,1)],[(1,1),(3,3),(1,1),(3,4)],[(2,2),(0,4),(2,1),(0,2)],[(3,3),(1,3),(3,1)]];22;4;6;49;4208;19;11708;19;2992584
[[(3,1),(2,4),(3,4),(2,4)],[(1,4),(0,3),(1,2),(0,3)],[(0,3),(1,3),(0,3),(1,3)],[(0,2),(1,2),(0,3)],[(2,2),(3,2),(2,1),(3,2)],[(2,2),(3,1),(2,4)]];22;4;6;58;4250;17;15916;17;3261042
[[(1,2),(0,1),(1,3)],[(3,3),(2,4),(3,2),(2,4)],[(2,3),(3,1),(2,1),(3,2)],[(3,2),(2,4),(3,4)],[(1,3),(0,3),(1,3),(0,2)],[(0,2),(1,4),(0,2),(1,4)]];22;4;6;59;3958;19;9792;19;3207708
[[(0,3),(2,3),(0,4)],[(1,3),(3,1),(1,4),(3,4)],[(3,4),(1,1),(3,2)],[(2,1),(0,3),(2,1),(0,4)],[(0,1),(2,3),(0,4),(2,1)],[(3,1),(1,2),(3,3),(1,3)]];22;4;6;56;4250;19;17417;19;3639500
[[(2,1),(0,3),(2,1)],[(0,2),(2,4),(0,2),(2,1)],[(2,2),(0,3),(2,4),(0,3)],[(3,4),(1,4),(3,3),(1,1)],[(1,4),(3,4),(1,4),(3,2)],[(3,2),(1,1),(3,1)]];22;4;6;56;3667;16;9792;16;3021125
[[(3,3),(0,4),(3,3),(0,1)],[(0,3),(3,3),(0,4),(3,1)],[(3,4),(0,3),(3,1)],[(1,1),(2,3),(1,1),(2,1)],[(2,4),(1,2),(2,3),(1,1)],[(2,1),(1,1),(2,4)]];22;4;6;52;4542;16;18875;16;2934750
[[(3,3),(1,1),(3,1)],[(1,4),(3,2),(1,2),(3,1)],[(2,3),(0,3),(2,4),(0,2)],[(0,2),(2,4),(0,3),(2,3)],[(3,3),(1,1),(3,3),(1,2)],[(2,2),(0,3),(2,4)]];22;4;6;56;4000;20;9083;20;3094875
[[(0,4),(3,4),(0,3),(3,4)],[(3,2),(0,1),(3,2),(0,3)],[(2,3),(1,3),(2,2)],[(2,3),(1,2),(2,1),(1,1)],[(0,1),(3,4),(0,4)],[(1,2),(2,4),(1,3),(2,4)]];22;4;6;60;3542;19;14208;17;3370083
[[(1,2),(0,3),(1,3),(0,3)],[(0,4),(1,2),(0,1)],[(2,4),(3,3),(2,3),(3,1)],[(3,1),(2,2),(3,1),(2,4)],[(2,3),(3,1),(2,4)],[(0,2),(1,3),(0,4),(1,1)]];22;4;6;55;15000;20;8916;20;3091709
[[(1,3),(3,4),(1,3),(3,3)],[(0,1),(2,2),(0,3),(2,1)],[(1,2),(3,2),(1,4)],[(3,1),(1,4),(3,4),(1,3)],[(0,4),(2,4),(0,2)],[(2,3),(0,3),(2,4),(0,2)]];22;4;6;62;4125;19;12792;19;3005375
[[(3,2),(1,3),(3,1),(1,4)],[(1,4),(3,4),(1,4),(3,4)],[(1,4),(3,3),(1,1)],[(0,3),(2,1),(0,2),(2,2)],[(2,4),(0,3),(2,2),(0,1)],[(0,4),(2,2),(0,4)]];22;4;6;62;11084;20;9042;20;3126417
[[(3,1),(0,2),(3,2),(0,2)],[(0,2),(3,3),(0,4)],[(1,1),(2,3),(1,1),(2,1)],[(0,1),(3,3),(0,2),(3,2)],[(2,3),(1,1),(2,2),(1,1)],[(2,3),(1,1),(2,2)]];22;4;6;43;4167;14;14959;14;3302000
[[(3,4),(2,2),(3,1),(2,1)],[(1,2),(0,4),(1,2),(0,3)],[(0,2),(1,2),(0,1),(1,1)],[(3,3),(2,2),(3,1)],[(2,2),(3,1),(2,1),(3,2)],[(1,4),(0,4),(1,2)]];22;4;6;47;3708;14;18917;14;3487250
[[(1,4),(2,3),(1,4),(2,1)],[(0,3),(3,3),(0,1),(3,3)],[(3,2),(0,1),(3,4)],[(2,1),(1,2),(2,2),(1,3)],[(1,2),(2,4),(1,1)],[(3,3),(0,3),(3,2),(0,2)]];22;4;6;54;3709;17;11458;17;3021416
[[(0,2),(1,4),(0,3),(1,3)],[(1,1),(0,1),(1,2),(0,3)],[(3,3),(2,3),(3,4)],[(0,3),(1,4),(0,1)],[(3,1),(2,2),(3,1),(2,4)],[(2,4),(3,2),(2,2),(3,3)]];22;4;6;56;3750;16;20334;15;3349375
[[(2,1),(1,4),(2,2),(1,3)],[(3,3),(0,4),(3,3),(0,3)],[(1,1),(2,1),(1,1),(2,2)],[(0,2),(3,1),(0,2),(3,3)],[(3,3),(0,3),(3,2)],[(1,2),(2,2),(1,3)]];22;4;6;51;7917;15;10125;15;3121125
[[(1,2),(3,4),(1,1),(3,3)],[(0,2),(2,2),(0,3),(2,2)],[(3,3),(1,4),(3,4),(1,1)],[(2,1),(0,1),(2,4)],[(3,2),(1,4),(3,3)],[(2,4),(0,1),(2,2),(0,1)]];22;4;6;54;3292;19;12834;19;3232375
[[(3,3),(2,2),(3,2)],[(3,4),(2,3),(3,1),(2,3)],[(0,4),(1,1),(0,4),(1,4)],[(1,4),(0,3),(1,3)],[(2,3),(3,3),(2,3),(3,1)],[(1,2),(0,3),(1,4),(0,3)]];22;4;6;63;4167;18;14708;18;3487875
[[(1,4),(3,4),(1,3)],[(0,2),(2,1),(0,3),(2,4)],[(1,4),(3,2),(1,4),(3,1)],[(3,4),(1,2),(3,1),(1,3)],[(0,1),(2,1),(0,3)],[(2,3),(0,2),(2,3),(0,4)]];22;4;6;59;3625;20;20250;20;2954208
[[(3,4),(1,2),(3,4)],[(0,3),(2,2),(0,4),(2,1)],[(2,2),(0,1),(2,3)],[(2,2),(0,4),(2,3),(0,1)],[(3,1),(1,1),(3,4),(1,1)],[(1,3),(3,2),(1,2),(3,3)]];22;4;6;53;4208;18;15125;18;3222458
[[(2,1),(1,3),(2,4),(1,2)],[(1,1),(2,3),(1,4)],[(3,1),(0,1),(3,4),(0,4)],[(0,2),(3,2),(0,1)],[(0,2),(3,1),(0,1),(3,1)],[(1,2),(2,3),(1,2),(2,2)]];22;4;6;47;3417;14;21333;14;3448167
[[(0,4),(2,4),(0,3)],[(0,3),(2,2),(0,3),(2,4)],[(1,1),(3,4),(1,1),(3,1)],[(3,4),(1,2),(3,3),(1,2)],[(2,4),(0,2),(2,2),(0,1)],[(3,4),(1,4),(3,3)]];22;4;6;61;4458;19;19333;19;3812875
[[(3,1),(1,1),(3,3)],[(0,4),(2,1),(0,1),(2,1)],[(3,2),(1,4),(3,4),(1,4)],[(2,3),(0,2),(2,4),(0,4)],[(1,4),(3,3),(1,3),(3,4)],[(2,3),(0,1),(2,4)]];22;4;6;61;3625;18;12125;18;3077208
[[(0,1),(1,3),(0,3),(1,3)],[(1,2),(0,1),(1,3),(0,1)],[(2,1),(3,2),(2,3),(3,4)],[(3,4),(2,3),(3,1)],[(3,1),(2,3),(3,3),(2,2)],[(1,1),(0,2),(1,1)]];22;4;6;48;4000;17;9459;15;3379083
[[(3,2),(1,4),(3,3)],[(2,1),(0,2),(2,2)],[(0,3),(2,2),(0,2),(2,2)],[(3,2),(1,2),(3,4),(1,3)],[(2,2),(0,2),(2,1),(0,4)],[(1,4),(3,2),(1,4),(3,2)]];22;4;6;55;3500;18;24083;17;3028916
[[(0,4),(1,1),(0,3)],[(2,2),(3,1),(2,1),(3,4)],[(0,1),(1,3),(0,4),(1,1)],[(1,4),(0,4),(1,4),(0,1)],[(3,3),(2,4),(3,1)],[(3,3),(2,4),(3,3),(2,3)]];22;4;6;59;3750;18;9125;17;3534000
[[(0,4),(3,4),(0,3)],[(3,2),(0,3),(3,4),(0,3)],[(0,1),(3,4),(0,3),(3,1)],[(1,3),(2,1),(1,3)],[(1,3),(2,3),(1,2),(2,4)],[(2,1),(1,1),(2,1),(1,1)]];22;4;6;55;4250;19;17375;17;3028209
[[(0,3),(2,3),(0,3),(2,4)],[(1,2),(3,3),(1,1)],[(2,2),(0,1),(2,1)],[(2,3),(0,3),(2,4),(0,3)],[(3,4),(1,4),(3,1),(1,1)],[(1,4),(3,1),(1,3),(3,3)]];22;4;6;57;3667;17;8750;17;3053333
[[(2,4),(0,2),(2,1),(0,2)],[(3,4),(1,1),(3,3)],[(0,4),(2,4),(0,1),(2,3)],[(1,2),(3,1),(1,1),(3,3)],[(2,1),(0,1),(2,3)],[(3,2),(1,1),(3,2),(1,2)]];22;4;6;48;3958;16;12875;16;3066917
[[(2,4),(1,4),(2,3)],[(3,3),(0,4),(3,3),(0,4)],[(1,1),(2,1),(1,4),(2,2)],[(3,2),(0,2),(3,3)],[(2,1),(1,4),(2,2),(1,2)],[(0,2),(3,4),(0,4),(3,1)]];22;4;6;60;4250;18;11417;17;3015084
[[(0,3),(2,3),(0,3),(2,2)],[(2,1),(0,3),(2,3),(0,1)],[(1,3),(3,3),(1,3),(3,2)],[(0,2),(2,3),(0,4)],[(3,2),(1,3),(3,3),(1,1)],[(1,3),(3,1),(1,1)]];22;4;6;53;3417;16;15334;16;3146709
[[(3,2),(0,2),(3,3)],[(3,4),(0,4),(3,3),(0,2)],[(2,4),(1,2),(2,4),(1,2)],[(2,1),(1,2),(2,3)],[(0,1),(3,4),(0,1),(3,4)],[(1,1),(2,1),(1,1),(2,4)]];22;4;6;55;3667;20;8916;20;3060791
[[(0,2),(1,2),(0,4),(1,1)],[(3,4),(2,3),(3,2)],[(3,4),(2,4),(3,3),(2,4)],[(1,3),(0,4),(1,4)],[(1,1),(0,2),(1,1),(0,3)],[(2,1),(3,1),(2,2),(3,1)]];22;4;6;56;3167;19;15542;17;2973333
[[(3,2),(1,4),(3,4)],[(3,3),(1,2),(3,1),(1,2)],[(2,4),(0,4),(2,4),(0,1)],[(2,2),(0,2),(2,2)],[(0,2),(2,3),(0,3),(2,1)],[(1,4),(3,4),(1,4),(3,3)]];22;4;6;61;4709;17;9792;17;3207000
[[(3,3),(2,3),(3,2),(2,4)],[(1,2),(0,2),(1,2),(0,1)],[(0,4),(1,2),(0,3),(1,2)],[(2,1),(3,1),(2,2)],[(0,4),(1,3),(0,4)],[(2,1),(3,2),(2,1),(3,1)]];22;4;6;50;3542;18;10375;18;3024542
[[(1,1),(0,2),(1,3)],[(2,2),(3,2),(2,4),(3,2)],[(3,1),(2,2),(3,1)],[(0,3),(1,3),(0,4),(1,4)],[(1,1),(0,2),(1,2),(0,1)],[(3,4),(2,2),(3,1),(2,3)]];22;4;6;50;13834;15;8750;15;3138542
[[(3,2),(1,4),(3,1)],[(2,4),(0,2),(2,2),(0,2)],[(0,1),(2,4),(0,1),(2,3)],[(1,2),(3,4),(1,3),(3,2)],[(3,1),(1,2),(3,4),(1,2)],[(2,1),(0,4),(2,2)]];22;4;6;53;7166;16;14375;16;3149541
[[(3,1),(0,3),(3,2)],[(2,1),(1,3),(2,3)],[(0,2),(3,1),(0,2),(3,2)],[(3,3),(0,4),(3,4),(0,3)],[(1,3),(2,2),(1,2),(2,4)],[(2,1),(1,4),(2,3),(1,1)]];22;4;6;54;15500;17;9459;17;2992542
[[(2,2),(3,2),(2,2)],[(0,1),(1,2),(0,3)],[(1,4),(0,4),(1,4),(0,1)],[(2,4),(3,2),(2,3),(3,4)],[(0,3),(1,4),(0,1),(1,2)],[(3,2),(2,1),(3,2),(2,2)]];22;4;6;55;3750;16;11291;16;3183458
[[(0,1),(3,4),(0,3),(3,4)],[(2,4),(1,3),(2,2)],[(2,2),(1,2),(2,3),(1,3)],[(1,2),(2,1),(1,2),(2,2)],[(0,2),(3,4),(0,4)],[(3,1),(0,3),(3,1),(0,4)]];22;4;6;57;11458;17;9875;17;2850125
[[(1,2),(2,3),(1,2),(2,1)],[(0,4),(3,1),(0,1),(3,2)],[(3,3),(0,4),(3,1)],[(2,4),(1,2),(2,4)],[(2,3),(1,3),(2,2),(1,3)],[(3,2),(0,3),(3,1),(0,4)]];22;4;6;55;3750;19;11583;17;2975375
[[(3,3),(2,4),(3,1),(2,1)],[(1,2),(0,2),(1,3),(0,4)],[(0,2),(1,1),(0,1)],[(2,2),(3,2),(2,4)],[(0,2),(1,4),(0,2),(1,2)],[(2,1),(3,2),(2,3),(3,3)]];22;4;6;51;8792;17;11958;15;3042208
[[(2,3),(0,4),(2,2),(0,3)],[(3,1),(1,4),(3,3),(1,3)],[(2,3),(0,4),(2,4)],[(1,4),(3,3),(1,2),(3,4)],[(1,2),(3,2),(1,4)],[(0,1),(2,2),(0,4),(2,4)]];22;4;6;66;3500;19;11208;19;2954625
[[(3,1),(0,4),(3,4)],[(2,4),(1,1),(2,1),(1,4)],[(1,3),(2,3),(1,4)],[(0,4),(3,4),(0,4),(3,2)],[(3,1),(0,3),(3,4),(0,2)],[(1,2),(2,4),(1,1),(2,2)]];22;4;6;62;9542;18;8375;18;3047500
[[(3,4),(0,3),(3,2)],[(0,4),(3,3),(0,1),(3,3)],[(3,4),(0,1),(3,2),(0,3)],[(2,2),(1,3),(2,3),(1,4)],[(1,2),(2,4),(1,2)],[(1,1),(2,4),(1,4),(2,4)]];22;4;6;63;3833;18;11791;18;3023709
[[(1,4),(3,4),(1,4),(3,1)],[(0,2),(2,3),(0,3),(2,1)],[(3,1),(1,4),(3,4)],[(3,1),(1,3),(3,4),(1,3)],[(0,2),(2,2),(0,2)],[(2,1),(0,2),(2,2),(0,1)]];22;4;6;54;3583;19;15291;18;2875917
[[(1,1),(0,4),(1,2)],[(2,1),(3,4),(2,4),(3,2)],[(2,4),(3,1),(2,3)],[(1,4),(0,4),(1,1),(0,4)],[(0,1),(1,2),(0,3),(1,3)],[(3,4),(2,2),(3,3),(2,1)]];22;4;6;58;8375;16;23666;16;3485666
[[(3,2),(2,1),(3,4),(2,3)],[(0,1),(1,4),(0,4)],[(0,4),(1,2),(0,3),(1,4)],[(2,4),(3,4),(2,1),(3,2)],[(3,3),(2,2),(3,1)],[(1,1),(0,2),(1,3),(0,1)]];22;4;6;56;3583;18;11667;16;3556583
[[(0,3),(3,4),(0,3),(3,4)],[(1,3),(2,4),(1,2),(2,4)],[(2,2),(1,3),(2,3),(1,1)],[(3,3),(0,3),(3,3)],[(3,2),(0,4),(3,4),(0,3)],[(1,2),(2,1),(1,3)]];22;4;6;64;4291;20;15125;20;3220292
[[(1,1),(3,3),(1,1),(3,1)],[(1,1),(3,4),(1,2)],[(3,4),(1,2),(3,4),(1,2)],[(2,4),(0,2),(2,3),(0,3)],[(2,3),(0,4),(2,4)],[(0,2),(2,1),(0,3),(2,3)]];22;4;6;57;3792;18;19834;18;3148000
[[(3,3),(0,2),(3,2),(0,3)],[(1,1),(2,2),(1,4),(2,1)],[(2,3),(1,4),(2,2),(1,4)],[(0,3),(3,3),(0,3)],[(0,1),(3,2),(0,4),(3,2)],[(2,2),(1,4),(2,2)]];22;4;6;57;7125;19;10250;18;4045000
[[(1,3),(0,4),(1,3),(0,4)],[(2,2),(3,3),(2,4)],[(0,3),(1,4),(0,3),(1,3)],[(1,2),(0,4),(1,2)],[(2,4),(3,2),(2,2),(3,1)],[(3,3),(2,3),(3,1),(2,3)]];22;4;6;63;4750;18;15834;18;3124750
[[(2,3),(0,1),(2,4),(0,1)],[(1,3),(3,4),(1,1),(3,1)],[(0,2),(2,4),(0,2),(2,1)],[(0,1),(2,2),(0,4)],[(3,1),(1,3),(3,3),(1,2)],[(3,1),(1,1),(3,4)]];22;4;6;49;3375;15;9166;15;3180209
[[(1,1),(0,1),(1,3),(0,1)],[(2,3),(3,3),(2,3)],[(3,1),(2,4),(3,4),(2,4)],[(2,3),(3,4),(2,3),(3,1)],[(0,3),(1,2),(0,2),(1,2)],[(0,1),(1,3),(0,3)]];22;4;6;55;4958;20;14417;20;3498667
